#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
Y     -3   -5   -3   -3    4   -5    2   -1   -3   -1    2   -1   -4   -3   -2   -5   -2   -2    2   10   -2 
J      2    0   -9   -4    0   -1   -2    0   -1    1    0   -4   -4   -4   -3   -3   -2    2  -10   -5   13 
U     -2   17  -11   -9   -2   -4   -6   -3   -5   -3   -5   -3   -7   -5   -5   -7   -6   -2  -11   -4   10 
>HAsON 4
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6    1    1   -3    0   -1   -1    0   -1   -1   -3    0   -1   -1    2    0    0   -3    0    2 
C     -7   18   -9   -9   -5   -8   -9  -10   -9   -7   -7  -10  -11  -11   -6  -11  -11   -9   -7   -6   -1 
D     -1   -6    8    2   -5   -1   -2   -5   -1   -5   -6    3    0    1   -1    1    0   -4   -6   -3   -5 
E      0   -6    2    7   -4   -2   -1   -3    1   -3   -2    0    0    2    0   -1   -1   -2   -4   -6   -7 
F     -4   -6   -5   -7    9   -6   -2    0   -5    2    1   -8   -5   -4   -5    0   -3    0    3    5   -1 
G     -1   -8   -4   -3   -6    7   -3   -6   -3   -6   -5   -3   -3   -5   -3   -1   -4   -5   -5   -8    1 
H     -2   -6   -2   -2    0   -3   12   -3    0   -3   -2    0   -2    3    1   -3    0   -3   -2    1   -2 
I     -2   -9   -4   -3    0   -6   -5    6   -3    3    2   -7   -4   -6   -4   -5   -4    3   -3   -3    0 
K      0   -8   -2    0   -4   -1   -1   -3    6   -2   -2    1    0    4    3   -1    2   -2   -5   -4   -4 
L     -2   -7   -6   -3    2   -6   -4    3   -3    6    3   -4   -4   -5   -3   -4   -3    1   -1   -1    0 
M     -1   -9   -8   -5    1   -4   -2    3   -2    4   10   -7   -4   -1   -2   -1   -2    1   -1   -1   -1 
N     -2   -4    1    1   -4    0    2   -4    0   -4   -4    9   -2    0    0    1    1   -4   -6   -3   -4 
P     -1  -10   -4   -3   -5   -2   -2   -4   -1   -4   -5   -6    9   -3   -2   -4   -3   -3   -7   -6   -5 
Q      0   -4    1    2   -3   -2    1   -3    2   -3    0   -1   -1    9    2   -2    0   -2   -4   -5   -4 
R     -1   -6   -1   -2   -4   -2    2   -3    3   -2   -3    1   -1    1    8   -1    0   -3   -4   -5   -4 
S      1   -7    0   -1   -4    0   -2   -4   -1   -4   -3   -1    0   -4   -1    5    1   -3   -5   -1    1 
T     -1   -7   -3    0   -3   -2   -2   -1   -1   -2   -2   -3   -2   -2   -1    2    6    0   -6   -4    0 
V     -1   -9   -6   -4   -1   -5   -4    3   -3    1    1   -7   -4   -5   -3   -6   -3    5   -4   -3    1 
W     -4   -7   -8   -6    4   -5   -3   -3   -5   -1   -1  -10   -7   -4   -4   -8  -10   -4   15    3   -6 
Y     -3   -5   -6   -4    4   -5    2   -1   -3   -1    0   -5   -4   -2   -2   -1   -2   -2    3   10   -2 
J      1    0    1   -9    0   -1    1    0   -3    1    0   -8   -4   -7   -3   -4    1    2   -5   -4   14 
U     -2   17   -3   -9   -3   -4   -3   -3   -6   -3   -3   -9   -7   -9   -4   -7   -3   -2   -6   -6    9 
>HAsOn 5
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6    1    0   -3    0    0   -2    0   -2    0    1   -1    1    0    2    2    0    0   -1    4 
C     -6   18   -9   -5   -5   -7  -14   -9   -5   -7  -10   -1  -11    0  -16   -7  -17   -9  -11   -1   -3 
D     -1   -6    5    2   -5   -1   -1   -5   -1   -5   -5    2   -1   -1   -1    0    0   -5   -4   -5   -2 
E      0   -6    4    6   -4   -2   -1   -4   -1   -4   -3    1    0    1    0    2    2   -3   -4   -2   -5 
F     -3   -5   -4   -5    9   -6    0    0   -7    2    1   -5   -5   -6   -3   -5   -2    0    3    4    0 
G     -1   -8   -2   -3   -6    7   -3   -6   -4   -6   -5   -2   -3   -4   -5   -2   -3   -5   -4  -10   -2 
H     -2   -6    0   -2    0   -3   10   -4   -1   -3   -1    2   -2    2    1    0   -1   -3   -1    2    3 
I     -2   -9  -10   -5    0   -6   -2    7   -3    3    2   -4   -4   -3   -2   -4   -2    4   -2   -1    0 
K      0   -8    2    3   -4   -2    0   -3    7   -3   -2    3   -1    3    4    2    1   -2   -5   -4   -1 
L     -2   -7   -5   -5    2   -6   -2    3   -2    6    4   -4   -4   -3   -3   -4   -2    1   -4   -1   -2 
M     -1   -9   -7   -9    1   -4   -1    2   -2    4    9   -1   -4    0   -2   -3   -1    1    1    2    0 
